         88806525 function calls (86741999 primitive calls) in 61.441 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   598060    0.552    0.000    1.422    0.000 /usr/lib/python3/dist-packages/pandas/core/dtypes/common.py:1591(_is_dtype_type)
   332330    0.277    0.000    1.413    0.000 /usr/lib/python3/dist-packages/pandas/core/dtypes/common.py:162(is_object_dtype)
    33177    0.061    0.000    1.378    0.000 /usr/lib/python3/dist-packages/pandas/core/internals/managers.py:751(<listcomp>)
   697091    0.395    0.000    1.372    0.000 /usr/lib/python3/dist-packages/pandas/core/dtypes/common.py:1725(validate_all_hashable)
   165870    0.074    0.000    1.322    0.000 /usr/lib/python3/dist-packages/pandas/core/dtypes/missing.py:108(isna)
    66350    0.133    0.000    1.317    0.000 /usr/lib/python3/dist-packages/pandas/core/internals/blocks.py:861(take_nd)
5524067/4057204    0.889    0.000    1.302    0.000 {built-in method builtins.len}
   165870    0.219    0.000    1.248    0.000 /usr/lib/python3/dist-packages/pandas/core/dtypes/missing.py:191(_isna)
   331980    0.205    0.000    1.238    0.000 /usr/lib/python3/dist-packages/pandas/core/construction.py:399(extract_array)
    99484    0.393    0.000    1.214    0.000 /usr/lib/python3/dist-packages/pandas/core/indexers/utils.py:430(check_array_indexer)
    66302    0.118    0.000    1.201    0.000 /usr/lib/python3/dist-packages/pandas/core/strings/accessor.py:197(_validate)
   199085    0.525    0.000    1.156    0.000 /usr/lib/python3/dist-packages/pandas/core/indexes/base.py:5304(__getitem__)
   464718    0.881    0.000    1.136    0.000 /usr/lib/python3/dist-packages/pandas/core/generic.py:259(__init__)
   298453    1.094    0.000    1.094    0.000 {method 'reduce' of 'numpy.ufunc' objects}
   232444    0.388    0.000    1.092    0.000 /usr/lib/python3/dist-packages/pandas/core/construction.py:744(_try_cast)
764146/763951    0.337    0.000    1.065    0.000 {built-in method builtins.all}
    66302    0.604    0.000    1.061    0.000 {pandas._libs.lib.map_infer_mask}
   165976    0.237    0.000    1.058    0.000 /usr/lib/python3/dist-packages/pandas/core/common.py:96(is_bool_indexer)
    66302    0.225    0.000    1.057    0.000 /usr/lib/python3/dist-packages/pandas/core/indexes/base.py:1256(repeat)
  2855318    0.739    0.000    1.009    0.000 /usr/lib/python3/dist-packages/pandas/core/dtypes/generic.py:40(_check)
830174/664388    0.721    0.000    1.008    0.000 {built-in method numpy.asarray}
    66350    0.116    0.000    0.966    0.000 /usr/lib/python3/dist-packages/pandas/core/array_algos/take.py:57(take_nd)
   232351    0.357    0.000    0.933    0.000 /usr/lib/python3/dist-packages/pandas/_config/config.py:116(_get_single_key)
199071/199069    0.202    0.000    0.895    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
   995492    0.556    0.000    0.874    0.000 /usr/lib/python3/dist-packages/pandas/core/series.py:611(name)
    66350    0.244    0.000    0.823    0.000 /usr/lib/python3/dist-packages/pandas/core/array_algos/take.py:120(_take_nd_ndarray)
    66303    0.799    0.000    0.799    0.000 {pandas._libs.lib.maybe_convert_numeric}
   132635    0.294    0.000    0.782    0.000 /usr/lib/python3/dist-packages/pandas/core/dtypes/missing.py:268(_isna_array)
    66389    0.138    0.000    0.766    0.000 /usr/lib/python3/dist-packages/pandas/core/frame.py:4257(_box_col_values)
